#options: 960x540 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.50 aq:27.42 tex:99947 mv:36823 misc:166 imb:2040 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:34.24 aq:27.37 tex:3837 mv:2449 misc:1394 imb:44 pmb:366 smb:1630 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:34.24 aq:28.20 tex:141 mv:644 misc:575 imb:0 pmb:91 smb:1949 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:34.24 aq:28.05 tex:90 mv:116 misc:290 imb:1 pmb:20 smb:2019 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:34.24 aq:25.32 tex:114 mv:244 misc:282 imb:2 pmb:21 smb:2017 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:34.07 aq:27.30 tex:5188 mv:3335 misc:1525 imb:34 pmb:488 smb:1518 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:34.15 aq:28.92 tex:249 mv:804 misc:651 imb:8 pmb:86 smb:1946 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:34.20 aq:26.98 tex:155 mv:275 misc:346 imb:5 pmb:29 smb:2006 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:34.11 aq:27.03 tex:154 mv:40 misc:230 imb:1 pmb:10 smb:2029 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:33.86 aq:27.16 tex:11455 mv:4445 misc:1516 imb:55 pmb:575 smb:1410 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:33.96 aq:29.71 tex:494 mv:1893 misc:1061 imb:7 pmb:220 smb:1813 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:34.02 aq:28.84 tex:105 mv:162 misc:293 imb:1 pmb:20 smb:2019 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:33.91 aq:28.08 tex:153 mv:638 misc:585 imb:5 pmb:79 smb:1956 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:37.86 aq:29.36 tex:2427 mv:3364 misc:1257 imb:38 pmb:358 smb:1644 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:35.86 aq:31.59 tex:404 mv:1429 misc:783 imb:0 pmb:147 smb:1893 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:34.86 aq:30.47 tex:234 mv:481 misc:477 imb:2 pmb:57 smb:1981 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:36.86 aq:31.99 tex:38 mv:280 misc:314 imb:1 pmb:25 smb:2014 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:30.82 aq:25.14 tex:47219 mv:10156 misc:1537 imb:275 pmb:1071 smb:694 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:34.34 aq:30.16 tex:577 mv:2540 misc:1099 imb:7 pmb:250 smb:1783 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:36.10 aq:32.07 tex:75 mv:623 misc:478 imb:1 pmb:68 smb:1971 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:32.58 aq:27.09 tex:633 mv:1417 misc:846 imb:7 pmb:153 smb:1880 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:27.16 aq:21.64 tex:102578 mv:11890 misc:1108 imb:321 pmb:1400 smb:319 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:28.99 aq:24.16 tex:6934 mv:4624 misc:1882 imb:26 pmb:652 smb:1362 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:29.91 aq:25.29 tex:1831 mv:1904 misc:1241 imb:15 pmb:260 smb:1765 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:28.08 aq:23.12 tex:3612 mv:3034 misc:1642 imb:44 pmb:416 smb:1580 d:- ref:0 ;
